country,player_name,player_club,in_top_5_league,player_age,market_value,market_value_int
Ethiopia,Biniam Genetu,Wolayta Dicha SC,False,23,€75k,75000
Ethiopia,Frew Getahun,Diredawa Ketema SC,False,33,€25k,25000
Ethiopia,Ramkel James,Ethiopia Bunna SC,False,25,€150k,150000
Ethiopia,Ahmed Reshid,Diredawa Ketema SC,False,31,€125k,125000
Ethiopia,Wancha Tut,Ethiopian Insurance Corporation SA,False,21,€125k,125000
Ethiopia,Nigatu Gebreselassie,Ethiopian Insurance Corporation SA,False,38,€50k,50000
Ethiopia,Abdulselam Yesuf,Diredawa Ketema SC,False,23,€75k,75000
Ethiopia,Bereket Kekaleb,Ethiopian Insurance Corporation SA,False,23,€100k,100000
Ethiopia,Kennedy Kebede,Wolayta Dicha SC,False,24,€75k,75000
Ethiopia,Bereket Wolde,Negele Arsi Town FC,False,28,€125k,125000
Ethiopia,Yitagesu Tariku,Ethiopia Bunna SC,False,22,€50k,50000
Ethiopia,Habtamu Tekeste,Fasil Kenema SC,False,27,€125k,125000
Ethiopia,Haider Sherifa,Adama Ketema FC,False,32,€100k,100000
Ethiopia,Biniam Ayiten,Adama Ketema FC,False,22,€100k,100000
Ethiopia,Cherinet Gugsa,Mechal SC,False,26,€150k,150000
Ethiopia,Bereket Desta,Mechal SC,False,27,€150k,150000
Ethiopia,Wogene Gezahegn,Ethiopian Insurance Corporation SA,False,21,€150k,150000
Ethiopia,Mohammed Abera,Mechal SC,False,24,€125k,125000
Ethiopia,Ahmed Hussien,Adama Ketema FC,False,26,€100k,100000
Ethiopia,Kitika Jima,Mekele 70 Enderta FC,False,25,€75k,75000
Netherlands,Bart Verbruggen,Brighton & Hove Albion,True,23,€35.00m,35000000
Netherlands,Robin Roefs,Sunderland AFC,False,23,€18.00m,18000000
Netherlands,Mark Flekken,Bayer 04 Leverkusen,True,32,€8.00m,8000000
Netherlands,Micky van de Ven,Tottenham Hotspur,True,24,€65.00m,65000000
Netherlands,Matthijs de Ligt,Manchester United,True,26,€40.00m,40000000
Netherlands,Jan Paul van Hecke,Brighton & Hove Albion,True,25,€35.00m,35000000
Netherlands,Virgil van Dijk,Liverpool FC,True,34,€18.00m,18000000
